"","actor","location","start_date","end_date","ended","est_fat","org"
"798","Black Axe","Nigeria","2002-02-15","2013-09-10",1,39,1
"799","Black Axe","Nigeria","2002-02-15","",0,32,1
"800","Black Axe","Nigeria","2002-02-15","",0,52,1
"801","Black Axe","Nigeria","2002-02-15","2017-12-24",1,25,1
"802","Black Axe","Nigeria","2007-03-02","2015-09-21",1,25,1
"803","Khatumo administration","Somalia","2012-01-15","2012-11-28",1,158,1
"804","Akul","Papua New Guinea","2012-06-14","2012-11-29",1,57,3
"805","Jalisco Cartel New Generation","Mexico","2012-02-16","",0,68,1
"806","Jalisco Cartel New Generation","Mexico","2012-02-16","",0,129,1
"807","Jalisco Cartel New Generation","Mexico","2012-02-16","2014-12-31",1,184,1
"808","Beltrán Leyva Cartel","Mexico","2008-04-18","2008-07-04",1,54,1
"809","Beltrán Leyva Cartel","Mexico","2008-04-18","",0,48,1
"810","Beltrán Leyva Cartel","Mexico","2008-04-18","",0,32,1
"811","Beltrán Leyva Cartel","Mexico","2008-04-18","2016-12-31",1,68,1
"812","Los Zetas - Cártel del Noreste faction","Mexico","2016-02-28","2016-09-28",1,43,1
"813","Guerreros Unidos","Mexico","2012-09-08","",0,164,1
"814","Guerreros Unidos","Mexico","2012-09-08","2015-12-20",1,72,1
"815","Opponents of Morsi","Egypt","2012-11-25","2013-12-30",1,119,2
"816","Los Zetas","Mexico","2012-06-11","2012-09-17",1,77,1
"817","Birom","Nigeria","2001-12-30","2010-01-20",1,333,3
"818","Christians","Central African Republic","2007-03-14","",0,47,3
"819","Christians","Central African Republic","2007-03-14","",0,459,3
"820","Christians","Central African Republic","2007-03-14","2015-12-01",1,108,3
"821","Amothnhon Dinka","South Sudan","2012-11-06","2013-01-18",1,25,3
"822","Al-Zayadia","Sudan","2012-08-16","2015-07-05",1,127,3
"823","FLC","DR Congo","2001-04-25","2001-07-24",1,27,1
"824","CPI-ML-VM","India","2000-10-01","2000-12-28",1,27,1
"825","Ansar Dine","Mali","2012-04-02","2015-12-25",1,42,1
"826","Ganda Iso","Mali","2012-03-15","2012-03-25",1,31,1
"827","Tripura Non-Tribal Communities","India","1999-02-04","2000-11-19",1,85,3
"828","NURTW-Auxiliary","Nigeria","2011-05-30","2011-06-04",1,27,1
"829","BNLF","Bangladesh","2000-06-19","2000-09-03",1,74,1
"830","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","Nigeria","2013-07-25","",0,92,1
"831","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","Nigeria","2013-07-25","",0,493,1
"832","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","Nigeria","2013-07-25","2015-02-17",1,39,1
"833","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","Nigeria","2013-07-25","2017-10-12",1,94,1
"834","Muslims","Sri Lanka","1989-04-12","1989-05-25",1,25,3
"835","Atakar","Nigeria","2013-03-19","2013-09-02",1,77,3
"836","Hausa","Nigeria","2013-02-23","2013-05-03",1,70,3
"837","Assamese","India","2003-11-15","2003-12-08",1,55,3
"838","Agatu","Nigeria","2013-06-04","2013-06-13",1,42,3
"839","M23","DR Congo","2013-02-24","2013-03-16",1,41,1
"840","APCLS","DR Congo","2013-04-28","2013-10-11",1,66,1
"841","Hezbollah","Lebanon","2013-12-21","",0,33,1
"842","Hezbollah","Syria, Lebanon","2013-12-21","",0,67,1
"843","Hezbollah","Lebanon","2013-12-21","2015-12-09",1,46,1
"844","Agatu","Nigeria","2013-04-20","2013-11-09",1,136,3
"845","Agatu","Nigeria","2013-04-20","",0,168,3
"846","Agatu","Nigeria","2013-04-20","2016-03-10",1,154,3
"847","FSA, Jabhat Fateh al-Sham","Syria","2012-10-27","2012-10-27",1,30,1
"848","Ghuraba al-Sham, Jabhat Fateh al-Sham","Syria","2012-11-19","2012-11-20",1,29,1
"849","Brigades of Aisha","Lebanon","2013-08-15","2013-08-15",1,26,1
"850","anti-Balaka","Central African Republic","2013-08-26","",0,281,1
"851","anti-Balaka","Central African Republic","2013-08-26","2014-10-07",1,488,1
"852","anti-Balaka","Central African Republic","2013-08-26","2017-10-22",1,54,1
"853","Beni Hussein","Sudan","2013-01-09","",0,311,3
"854","Beni Hussein","Sudan","2013-01-09","2014-08-28",1,76,3
"855","Awlad Heiban","Sudan","2013-01-06","2013-01-06",1,80,3
"856","Beni Halba Baggara","Sudan","2013-03-01","2013-06-24",1,177,3
"857","Ansaar ul-Islam","Pakistan","2013-01-28","2013-03-19",1,211,1
"858","Misseriya","Sudan","2013-04-11","",0,456,3
"859","Misseriya","Sudan","2013-04-11","2014-06-21",1,57,3
"860","Misseriya","Sudan","2013-04-11","2017-06-12",1,32,3
"861","Hamar","Sudan","2013-12-05","",0,38,3
"862","Hamar","Sudan","2013-12-05","2014-07-01",1,52,3
"863","Eggon","Nigeria","2013-01-10","2014-11-23",1,202,3
"864","Kuteb","Nigeria","2013-04-09","2015-05-03",1,64,3
"865","Ikpanaya","Nigeria","2012-05-31","2012-05-31",1,41,3
"866","MAA","Mali","2013-02-23","2013-08-16",1,28,1
"867","Amigos dos Amigos","Brazil","1999-09-03","2004-12-29",1,51,1
"868","Amigos dos Amigos","Brazil","1999-09-03","2009-10-24",1,40,1
"869","Barriga gang","Brazil","1997-05-09","1999-12-25",1,30,1
"870","Comando Vermelho","Brazil","2004-07-14","2011-09-05",1,31,1
"871","Borana","Kenya","2013-07-15","2013-12-08",1,39,3
"872","Autodefensas Unidas de Michoacán","Mexico","2013-04-28","2013-11-16",1,38,1
"873","Al-Maraziq","Yemen","2003-12-31","2004-12-03",1,28,3
"874","Gulf Cartel - Ramirez Treviño faction","Mexico","2013-03-10","2013-03-10",1,35,1
"875","La Mochomera","Mexico","2013-04-21","2013-09-08",1,27,1
"876","IS, Jabhat Fateh al-Sham","Syria","2013-08-02","2013-10-31",1,115,1
"877","Jabhat Fateh al-Sham","Syria","2013-01-19","2013-07-19",1,56,1
"878","FSA, Jabhat Fateh al-Sham, Mish'al at Tammu Brigade","Syria","2013-01-26","2013-01-26",1,41,1
"879","FSA","Syria, Iraq","2013-07-07","",0,71,1
"880","FSA","Syria","2013-07-07","2014-12-18",1,49,1
"881","FSA","Syria","2012-10-26","2013-07-19",1,34,1
"882","FSA, Jabhat Fateh al-Sham","Syria","2013-07-29","2013-07-29",1,34,1
"883","FSA, IS","Syria","2013-09-25","2014-08-12",1,39,1
"884","IS","Syria","2013-10-09","",0,1524,1
"885","IS","Syria","2013-10-09","2015-11-27",1,717,1
"886","IS","Syria","2013-09-21","",0,736,1
"887","IS","Syria","2013-09-21","",0,32,1
"888","IS","Lebanon, Syria","2013-09-21","2016-11-11",1,124,1
"889","Fulani","Nigeria","2014-04-15","",0,77,3
"890","Fulani","Nigeria","2014-04-15","2015-06-17",1,27,3
"891","Supporters of APC","Nigeria","2014-06-20","2015-11-08",1,39,2
"892","FDC","DR Congo","2014-02-13","2014-02-13",1,70,1
"893","Bani Hilal","Egypt","2014-04-03","2014-06-26",1,28,3
"894","Toubou","Libya","2014-01-10","2014-06-01",1,34,3
"895","Benghazi Revolutionaries Shura Council","Libya","2014-06-23","",0,802,1
"896","Benghazi Revolutionaries Shura Council","Libya","2014-06-23","",0,428,1
"897","Benghazi Revolutionaries Shura Council","Libya","2014-06-23","",0,230,1
"898","Benghazi Revolutionaries Shura Council","Libya","2014-06-23","2017-12-31",1,378,1
"899","Raia Mutomboki - Bravo","DR Congo","2014-10-29","2014-10-29",1,30,1
"900","Baluba","DR Congo","2014-03-23","",0,573,3
"901","Baluba","DR Congo","2014-03-23","2017-12-29",1,340,3
"902","Supporters of independence for Eastern Ukraine","Ukraine","2014-05-02","2014-05-02",1,45,2
"903","TTP-KM","Pakistan","2014-04-06","2014-06-18",1,128,1
"904","IS","Iraq","2014-06-02","2014-07-04",1,64,1
"905","Hezbollah","Lebanon","2014-01-02","2015-11-12",1,75,1
"906","Libya Dawn","Libya","2014-07-13","2014-08-19",1,191,1
"907","Hutu","DR Congo","2015-04-13","2016-12-22",1,58,3
"908","Bafulero","DR Congo","2013-08-15","2014-06-06",1,39,3
"909","anti-Balaka","Central African Republic","2014-10-09","",0,33,1
"910","anti-Balaka","Central African Republic","2014-10-09","",0,146,1
"912","anti-Balaka","Central African Republic","2014-10-09","2017-11-23",1,392,1
"913","Eggon","Nigeria","2014-04-26","2014-08-19",1,57,3
"914","Gulf Cartel - Dragones de Sheyla faction","Mexico","2014-04-03","2014-12-31",1,34,1
"915","Sinaloa Cartel - Los Chavez Matamoros faction","Mexico","2014-02-05","2014-10-03",1,28,1
"916","Los Ardillos","Mexico","2014-07-08","",0,56,1
"917","Los Ardillos","Mexico","2014-07-08","",0,62,1
"918","Los Ardillos","Mexico","2014-07-08","2017-12-15",1,82,1
"919","IS","Syria","2013-12-10","2014-05-29",1,195,1
"920","IS","Syria","2014-01-03","2014-02-15",1,476,1
"921","IS","Syria","2014-01-02","2014-06-01",1,527,1
"922","Jabhat Fateh al-Sham","Syria","2014-07-25","2014-11-01",1,65,1
"923","IS","Syria","2014-01-10","2014-02-07",1,143,1
"924","Harkat Hazm","Syria","2014-02-28","",0,82,1
"925","Harkat Hazm","Syria","2014-02-28","2015-05-31",1,192,1
"926","Sinaloa Cartel","Mexico","1992-09-30","2004-08-16",1,49,1
"927","Sinaloa Cartel","Mexico","1992-09-30","",0,59,1
"928","Sinaloa Cartel","Mexico","1992-09-30","2007-12-31",1,146,1
"929","Sinaloa Cartel","Mexico","1992-09-30","2015-12-31",1,130,1
"930","IS, Islamic Front, Jabhat Fateh al-Sham","Syria","2014-01-26","2014-01-26",1,26,1
"931","IS","Syria","2014-03-12","2014-03-20",1,130,1
"932","IS","Syria","2014-01-31","2014-02-15",1,142,1
"933","IS","Syria","2014-01-06","2014-06-05",1,1197,1
"934","IS","Syria","2014-01-06","2014-02-04",1,38,1
"935","MRTA","Peru","1989-02-19","1991-10-21",1,50,1
"936","IS","Syria","2014-02-09","2014-06-05",1,284,1
"937","IS","Syria","2014-01-29","2014-01-30",1,27,1
"938","El Dorado inmates","Venezuela","1997-08-28","1997-08-28",1,30,3
"939","Forces of Mullah Abdol Rauf Khadim","Afghanistan","2015-01-10","2015-01-10",1,50,1
"940","IS","Afghanistan","2015-02-02","",0,292,1
"941","IS","Afghanistan","2015-02-02","",0,181,1
"942","IS","Afghanistan, Pakistan","2015-02-02","2017-12-07",1,343,1
"943","Eyie","Nigeria","2008-10-06","2015-05-07",1,38,1
"944","Falata","Sudan","2015-02-02","",0,245,3
"945","Falata","Sudan","2015-02-02","2016-11-05",1,45,3
"946","Masalit","Sudan","2015-07-19","2016-11-18",1,39,3
"947","Taleban","Afghanistan","2015-08-03","",0,134,1
"948","Taleban","Afghanistan","2015-08-03","",0,184,1
"949","Taleban","Afghanistan","2015-08-03","2017-08-28",1,72,1
"950","AQAP","Yemen","2015-01-26","",0,115,1
"951","AQAP","Yemen","2015-01-26","",0,322,1
"952","AQAP","Yemen","2015-01-26","2017-11-26",1,129,1
"953","IS","Yemen","2015-03-21","",0,128,1
"954","IS","Yemen","2015-03-21","",0,407,1
"955","IS","Yemen","2015-03-21","2017-11-29",1,44,1
"956","Sabaneta - Pavilion I gang","Venezuela","1994-01-03","1994-01-03",1,127,3
"957","IS","Syria","2015-09-03","",0,382,1
"958","IS","Syria","2015-09-03","",0,2870,1
"959","IS","Syria","2015-09-03","2017-12-31",1,4958,1
"960","Hamar","Ethiopia","1997-03-31","2003-12-31",1,61,3
"961","Borana","Ethiopia","1999-12-31","1999-12-31",1,26,3
"962","IS","Nigeria","2015-04-03","",0,142,1
"963","IS","Nigeria","2015-04-03","2016-07-07",1,34,1
"964","Luac Jang Dinka","South Sudan","2015-10-10","2015-10-10",1,92,3
"965","High Council of Afghanistan Islamic Emirate, IS","Afghanistan","2015-11-08","2015-11-29",1,56,1
"966","Toubou","Chad","2014-08-04","2017-12-25",1,25,3
"967","Kuei Dinka, Pakam Dinka","South Sudan","2015-03-16","2015-03-16",1,78,3
"968","CMA","Mali","2015-01-28","",0,51,1
"969","CMA","Mali","2015-01-28","2017-07-26",1,47,1
"970","CMA","Mali","2014-07-11","2014-07-20",1,61,1
"971","Forces of the House of Representatives","Libya","2015-01-02","",0,348,1
"972","Forces of the House of Representatives","Libya","2015-01-02","",0,87,1
"973","Forces of the House of Representatives","Libya","2015-01-02","2017-11-15",1,59,1
"974","FSA, Jabhat Fateh al-Sham, Jaysh al-Islam, Levant Front","Syria","2016-02-05","2016-06-14",1,25,1
"975","Deebam","Nigeria","2016-01-04","",0,26,1
"976","Deebam","Nigeria","2016-01-04","2017-08-07",1,44,1
"977","IS","Syria","2015-02-22","2015-05-31",1,828,1
"978","IS","Syria","2015-02-23","2015-10-06",1,595,1
"979","Derna Mujahideen Shura Council","Libya","2015-06-10","",0,133,1
"980","Derna Mujahideen Shura Council","Libya","2015-06-10","2016-04-23",1,65,1
"981","Aknaf Bait al-Maqdis, FSA, Jaysh al-Islam, PFLP-GC, PLO","Syria","2015-04-01","2015-12-24",1,134,1
"982","Ahrar al-Sham, Ajnad al-Sham, Jabhat Fateh al-Sham, Jaysh al-Sunna, Liwa al-Aqsa, Liwa al-Haq Idlib, Sham Legion","Syria","2015-07-03","2015-08-12",1,57,1
"983","Ahrar al-Sham, Jabhat Fateh al-Sham","Syria","2015-04-29","2015-11-15",1,234,1
"984","Eastern Qalamoun Operations Room","Syria","2015-02-09","2015-12-26",1,145,1
"985","IS","Syria","2015-10-04","2017-08-11",1,26,1
"986","Derna Mujahideen Shura Council","Libya","2015-06-30","",0,29,1
"987","Derna Mujahideen Shura Council","Libya","2015-06-30","2017-08-11",1,31,1
"988","Ajdabiya Revolutionaries Shura Council","Libya","2015-12-19","2015-12-19",1,26,1
"989","Toubou","Libya, Niger","2015-03-20","2015-12-31",1,81,3
"990","Toubou","Libya","2015-05-07","2015-09-21",1,85,3
"991","Sinaloa Cartel - Los Memos faction","Mexico","2015-03-31","2015-06-08",1,41,1
"992","Jalisco Cartel New Generation","Mexico","2015-12-31","",0,55,1
"993","Jalisco Cartel New Generation","Mexico","2015-12-31","",0,557,1
"994","Jalisco Cartel New Generation","Mexico","2015-12-31","2017-12-20",1,333,1
"995","Sinaloa Cartel","Mexico","2014-11-01","2015-12-31",1,55,1
"996","Sinaloa Cartel","Mexico","2014-11-01","2017-12-01",1,58,1
"997","Sinaloa Cartel - El Pepillo faction","Mexico","2015-01-19","2015-12-31",1,61,1
"998","Jaysh al-Mukhtar","Iraq","2013-02-09","2015-10-29",1,26,1
"999","Euphrates Volcano","Syria","2015-01-28","2015-09-18",1,500,1
"1000","Fatah Halab","Syria","2015-01-20","",0,692,1
"1001","Fatah Halab","Syria","2015-01-20","2016-08-15",1,84,1
"1002","Fatah Halab","Syria","2015-10-02","",0,31,1
"1003","Fatah Halab","Syria","2015-10-02","2016-12-02",1,213,1
"1004","Fatah Halab, Jabhat Fateh al-Sham","Syria","2015-01-21","2015-11-30",1,51,1
"1005","Bakonzo","Uganda","2016-02-27","2016-04-30",1,30,3
"1006","FPRC","Central African Republic","2016-12-23","2017-03-30",1,33,1
"1007","Ahrar al-Sham, Jabhat Fateh al-Sham, Southern Front","Syria","2015-12-03","",0,223,1
"1008","Ahrar al-Sham, Jabhat Fateh al-Sham, Southern Front","Syria","2015-12-03","2017-01-27",1,33,1
"1009","IS","Syria","2016-02-11","2016-12-10",1,25,1
"1010","Bambara","Mali","2016-05-03","2016-10-10",1,28,3
"1011","Ahrar al-Sham","Syria","2016-01-08","2016-12-29",1,40,1
"1012","Mare' Operations Room","Syria","2015-01-05","",0,227,1
"1013","Mare' Operations Room","Syria","2015-01-05","2016-03-25",1,56,1
"1014","Fatah Halab, Jabhat Fateh al-Sham","Syria","2015-10-01","",0,56,1
"1015","Fatah Halab, Jabhat Fateh al-Sham","Syria","2015-10-01","2016-04-06",1,74,1
"1016","Ahrar al-Sham, Furqan Brigades, Jabhat Fateh al-Sham, Jaysh al-Islam, Yarmouk Army","Syria","2015-04-27","2015-05-06",1,70,1
"1017","Los Zetas - Jorge Ivan Hernandez Cantu faction","Mexico","2016-02-11","2016-02-11",1,48,1
"1018","Bloque Central Bolívar","Colombia","2003-12-30","2003-12-30",1,40,1
"1019","Hawar Kilis Operations Room","Syria","2016-04-07","",0,560,1
"1020","Hawar Kilis Operations Room","Syria","2016-04-07","2017-12-11",1,246,1
"1021","Hawar Kilis Operations Room","Syria","2016-08-22","",0,127,1
"1022","Hawar Kilis Operations Room","Syria","2016-08-22","2017-12-27",1,318,1
"1023","Jaysh al-Islam, Jaysh Asoud al-Sharqiya, Martyr Lieutenant Ahmed Abdou Brigades, Rahman Corps","Syria","2016-01-10","2016-11-09",1,100,1
"1024","IS","Syria","2017-01-21","2017-05-22",1,29,1
"1025","Awlad Omran clan","Sudan","2016-09-07","2016-09-07",1,43,3
"1026","Panyar Dinka","South Sudan","2014-03-19","2016-01-06",1,62,3
"1027","Panyar Dinka, Rek Dinka","South Sudan","2016-02-29","2016-02-29",1,86,3
"1028","Ikot-Offiong community","Nigeria","2016-12-29","2017-04-30",1,37,3
"1029","Igbo","Nigeria","2016-01-15","2016-12-28",1,58,3
"1030","Fulani","Ivory Coast","2016-03-25","2016-03-25",1,33,3
"1031","APCLS, FDLR, Nyatura","DR Congo","2016-07-14","2016-07-14",1,73,1
"1032","Maban","South Sudan","2016-06-30","2016-12-26",1,48,3
"1033","Mahadi","Sudan","2016-04-26","2016-06-22",1,26,3
"1034","BDB","Libya","2016-06-18","2017-06-02",1,63,1
"1035","SRF","Libya","2016-02-04","2016-10-20",1,44,1
"1036","Ahrar al-Sham, FSA, Jabhat Fateh al-Sham, Jaysh al-Islam","Syria","2016-01-06","",0,110,1
"1037","Ahrar al-Sham, FSA, Jabhat Fateh al-Sham, Jaysh al-Islam","Syria","2016-01-06","2017-02-14",1,32,1
"1038","Ahrar al-Sham, Jabhat Fateh al-Sham","Syria","2016-01-01","2016-02-20",1,44,1
"1039","BLA","Pakistan","2015-06-30","2015-06-30",1,26,1
"1040","Jalisco Cartel New Generation","Mexico","2016-12-25","2017-12-31",1,43,1
"1041","Ahrar al-Sham, Jabhat Fateh al-Sham, Jaysh al-Islam","Syria","2014-01-15","2014-02-25",1,33,1
"1042","Eastern Ghouta Unified Military Command","Syria","2015-08-15","2015-12-26",1,68,1
"1043","Ahrar al-Sham, Jabhat Fateh al-Sham, Jaysh al-Islam","Syria","2014-02-24","2014-03-09",1,30,1
"1044","Lulua-Luba","DR Congo","2017-04-19","2017-04-25",1,58,1
"1045","Hamar","Sudan","2017-04-02","2017-04-02",1,53,3
"1046","FDN","Brazil","2016-10-16","2017-12-12",1,99,1
"1047","NDC-R","DR Congo","2017-06-25","2017-12-24",1,135,1
"1048","Wanhihem community","Nigeria","2017-07-03","2017-07-03",1,150,3
"1049","Fulani","Nigeria","2017-07-15","2017-07-18",1,37,3
"1050","anti-Balaka","Central African Republic","2017-02-14","2018-01-01",1,79,1
"1051","Meitei","India","1993-05-03","1993-05-06",1,129,3
"1052","SPLM/A-North","South Sudan, Sudan","2017-05-28","2017-08-13",1,72,1
"1053","Aliap Dinka","South Sudan","2017-06-23","2017-06-23",1,30,3
"1054","Al-Shabaab","Somalia","2017-08-09","2017-12-15",1,39,1
"1055","Comités locaux de vigilance","Cameroon","2016-12-24","2017-12-03",1,62,1
"1056","Fulani","Nigeria","2010-12-03","",0,66,3
"1057","3R","Central African Republic","2017-01-31","2017-11-26",1,54,1
"1058","anti-Balaka, FPRC-AK","Central African Republic","2017-05-15","2017-12-10",1,367,1
"1059","Ahrar al-Sham","Syria","2017-01-28","2017-11-17",1,183,1
"1060","Jaysh al-Islam","Syria","2017-04-28","2017-09-11",1,210,1
"1061","IS","Syria","2017-02-09","2017-12-21",1,595,1
"1062","GATIA, MSA","Mali","2017-07-16","",0,36,1
"1063","IS","Mali","2017-09-25","2017-10-15",1,25,1
"1064","Nour al-Din al-Zenki","Syria","2017-08-31","2017-11-14",1,46,1
"1065","Liwa al-Aqsa","Syria","2017-02-13","2017-10-06",1,346,1
"1066","Bwatiye","Nigeria","2012-06-10","",0,58,3
"1067","Bwatiye","Nigeria","2012-06-10","",0,109,3
"1068","Hezbollah","Lebanon","2017-07-22","2017-07-26",1,190,1
"1069","IS","Lebanon","2017-05-27","2017-05-27",1,33,1
"1070","Pakam Dinka","South Sudan","2017-12-08","2017-12-08",1,172,3
"1071","CMC","DR Congo","2017-04-28","2017-12-20",1,91,1
"1072","PCC","Brazil","2017-01-14","2017-01-14",1,30,3
"1073","Ayiel Dinka","South Sudan","2017-08-07","2017-08-07",1,44,3
"1074","Operations Room Combating Daesh, Shuhada al-Wadi militia","Libya","2017-09-19","2017-10-06",1,43,1
"1075","Bambuti, Batwa","DR Congo","2017-01-14","2017-02-05",1,27,3
"1076","Anti-Balaka - Mokom, FPRC, MPC , RPRC","Central African Republic","2016-11-23","",0,146,1
"1077","Anti-Balaka - Mokom, FPRC, MPC , RPRC","Central African Republic","2016-11-23","2017-05-07",1,30,1
"1078","anti-Balaka","Central African Republic","2017-06-01","2017-10-31",1,62,1
"1079","Arab Brabich","Algeria","2013-08-15","2013-08-20",1,27,3
"1080","Comando Vermelho","Brazil","2017-05-03","",0,116,1
"1081","Jalwau","South Sudan","2017-12-17","2017-12-17",1,43,3
"1082","IS","Syria","2017-03-05","2017-12-24",1,161,1
"1083","Ahrar al-Sham, FSA, Jaysh al-Islam, Tahrir al-Sham","Syria","2017-01-29","2017-11-02",1,56,1
"1084","February 17 Martyrs Brigade, Rafallah al-Sahati Brigade","Libya","2014-05-16","2014-05-16",1,79,1
"1085","ASL","Libya","2014-06-02","2014-06-15",1,25,1
"1086","Ahrar al-Sham, Southern Front, Tahrir al-Sham","Syria","2017-01-31","2017-02-28",1,252,1
"1087","IS","Iraq","2007-02-09","2007-12-07",1,25,1
"1088","Xawaadle clan","Somalia","2008-01-09","2008-12-26",1,31,3
"1089","Andani","Ghana","2002-03-27","2002-03-27",1,36,3
"1090","Supporters of PDP","Nigeria","2008-01-14","2008-04-22",1,33,2
"1091","Supporters of PDP","Nigeria","2008-01-14","2011-10-17",1,26,2
"1092","Supporters of PDP","Nigeria","2003-03-12","2003-07-11",1,29,2
"1093","Kereyou","Ethiopia","2002-06-30","",0,29,3
"1094","Kereyou","Ethiopia","2002-06-30","2003-01-31",1,40,3
"1095","Issa","Ethiopia","2000-05-01","2002-12-10",1,75,3
"1096","Afi subclan of Galje'el clan","Somalia","2001-08-27","2004-02-04",1,26,3
"1097","Warsangeli subclan of Abgal clan","Somalia","1999-10-15","2002-11-20",1,94,3
"1098","Al-Shabaab","Somalia","2008-12-02","",0,64,1
"1099","Al-Shabaab","Somalia","2008-12-02","",0,548,1
"1100","Al-Shabaab","Somalia","2008-12-02","2010-12-05",1,202,1
"1101","Mahadade subclan of Abgal clan","Somalia","2002-08-18","2002-08-23",1,37,3
"1102","Lendu","DR Congo","2002-01-31","2002-01-31",1,50,3
"1103","Guji","Ethiopia","2006-10-16","2006-10-16",1,30,3
"1104","Supporters of PDP","Nigeria","1998-10-31","",0,66,2
"1105","Supporters of PDP","Nigeria","1998-10-31","2004-05-28",1,439,2
"1106","Lashkar-e-Islam","Pakistan","2007-03-16","",0,34,1
"1107","Lashkar-e-Islam","Pakistan","2007-03-16","",0,88,1
"1108","Lashkar-e-Islam","Pakistan","2007-03-16","2009-12-26",1,48,1
"1109","PUK","Iraq","2001-09-23","",0,85,1
"1110","PUK","Iraq","2001-09-23","",0,66,1
"1111","PUK","Iraq","2001-09-23","2004-12-04",1,126,1
"1112","Dinka","Ethiopia","2002-11-27","2002-12-01",1,41,3
"1113","Nuer","Ethiopia","1997-01-19","",0,101,3
"1114","Nuer","Ethiopia","1997-01-19","2003-12-14",1,36,3
"1115","Nuer","Ethiopia","1997-01-19","2016-04-24",1,28,3
"1116","Gok Dinka","Sudan","2006-07-18","2006-07-18",1,60,3
"1117","ARS/UIC","Somalia","2006-02-18","2006-08-30",1,562,1
"1118","LRA","Uganda","2003-09-28","2003-12-16",1,71,1
"1119","FARC","Colombia","1997-05-12","",0,46,1
"1120","FARC","Colombia","1997-05-12","",0,136,1
"1121","FARC","Colombia","1997-05-12","",0,143,1
"1122","FARC","Colombia","1997-05-12","",0,265,1
"1123","FARC","Ecuador, Colombia","1997-05-12","",0,474,1
"1124","FARC","Colombia","1997-05-12","",0,581,1
"1125","FARC","Colombia","1997-05-12","",0,68,1
"1126","FARC","Colombia","1997-05-12","",0,255,1
"1127","FARC","Colombia","1997-05-12","2005-10-28",1,190,1
"1128","LRA","DR Congo","2008-10-20","2008-10-20",1,27,1
"1129","Turi","Pakistan","2008-04-08","",0,449,3
"1130","Turi","Pakistan","2008-04-08","2009-07-01",1,115,3
"1131","Bena Nsimba","DR Congo","2007-09-20","2007-09-22",1,25,3
"1132","Ismail subclan of Makahil clan","Ethiopia","2003-12-31","2003-12-31",1,280,3
"1133","Supporters of BNP","Bangladesh","1989-09-07","2001-10-03",1,56,2
"1134","Jie","Uganda","2003-01-12","2003-05-22",1,102,3
"1135","Jie","Uganda","2003-01-12","2007-05-12",1,34,3
"1136","Pian Karimojong","Uganda","2001-01-24","2003-01-12",1,30,3
"1137","Pian Karimojong","Uganda","2001-01-24","2005-09-19",1,28,3
"1138","Murle","Sudan","2007-07-31","2007-11-30",1,106,3
"1139","Murle","South Sudan","2007-07-31","",0,44,3
"1140","Murle","South Sudan","2007-07-31","2012-12-28",1,118,3
"1141","Murle","South Sudan","2007-07-31","2017-11-28",1,96,3
"1142","Guji","Ethiopia","1991-07-31","2006-06-12",1,101,3
"1143","Konso","Ethiopia","2007-10-03","2008-07-31",1,46,3
"1144","Gabra, Garre","Ethiopia","1992-01-20","1992-06-30",1,381,3
"1145","Guji","Ethiopia","2006-10-02","2006-10-06",1,37,3
"1146","Palipehutu-FNL","Burundi","2003-09-06","",0,43,1
"1147","Palipehutu-FNL","Burundi","2003-09-06","2004-11-11",1,54,1
"1148","PARECO","DR Congo","2007-09-11","2008-11-27",1,60,1
"1149","Terceiro Comando","Brazil","1993-06-19","",0,28,1
"1150","Terceiro Comando","Brazil","1993-06-19","1995-12-10",1,40,1
"1151","Terceiro Comando","Brazil","1993-06-19","1997-12-13",1,29,1
"1152","Terceiro Comando","Brazil","1993-06-19","",0,74,1
"1153","Terceiro Comando","Brazil","1993-06-19","",0,48,1
"1154","Terceiro Comando","Brazil","1993-06-19","",0,35,1
"1155","Terceiro Comando","Brazil","1993-06-19","2004-07-04",1,34,1
"1156","MJF","Nepal","2007-01-19","2007-03-28",1,30,1
"1157","Luway subclan of Mirifle clan","Somalia","2004-05-30","2004-12-16",1,47,3
"1158","Kibete","Chad","2006-11-07","2006-11-07",1,140,3
"1159","Warsangeli subclan of Abgal clan","Somalia","2004-01-21","2004-09-22",1,132,3
"1160","Gura","Ethiopia","2003-12-06","2003-12-06",1,55,3
"1161","Konso","Ethiopia","2008-02-07","2008-02-07",1,33,3
"1162","Toposa","Sudan","2007-05-05","2007-05-05",1,54,3
"1163","Marehan subclan of Sede clan","Somalia","2004-02-21","2004-03-20",1,121,3
"1164","Sa'ad subclan of Habar Gidir clan","Somalia","2002-01-13","",0,65,3
"1165","Sa'ad subclan of Habar Gidir clan","Somalia","2002-01-13","2003-07-09",1,43,3
"1166","Suri","Ethiopia","1991-12-31","1991-12-31",1,91,3
"1167","Suri","Ethiopia","1991-12-31","1993-12-31",1,62,3
"1168","Suri","Ethiopia","1991-12-31","2002-11-17",1,35,3
"1169","KNU","Myanmar , Thailand","1994-12-07","1996-09-23",1,66,1
"1170","KNU","Myanmar","1994-12-07","1998-09-25",1,86,1
"1171","KNU","Myanmar","1994-12-07","2007-12-18",1,45,1
